"Plot Title: 20940479"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20940479, SEN S/N: 20940479, LBL: temp)","Intensity, lum/ft² (LGR S/N: 20940479, SEN S/N: 20940479, LBL: light)","Coupler Attached (LGR S/N: 20940479)","Host Connected (LGR S/N: 20940479)","Coupler Detached (LGR S/N: 20940479)","End Of File (LGR S/N: 20940479)"
1,10/05/20 02:00:00 PM,25.222,2.0,,,,
2,10/05/20 02:15:00 PM,20.424,200.0,,,,
3,10/05/20 02:30:00 PM,17.665,200.0,,,,
4,10/05/20 02:45:00 PM,17.284,200.0,,,,
5,10/05/20 03:00:00 PM,17.284,200.0,,,,
6,10/05/20 03:15:00 PM,17.284,208.0,,,,
7,10/05/20 03:30:00 PM,17.284,208.0,,,,
8,10/05/20 03:45:00 PM,17.284,200.0,,,,
9,10/05/20 04:00:00 PM,17.284,200.0,,,,
10,10/05/20 04:15:00 PM,17.284,200.0,,,,
11,10/05/20 04:30:00 PM,17.284,208.0,,,,
12,10/05/20 04:45:00 PM,17.284,208.0,,,,
13,10/05/20 05:00:00 PM,17.284,208.0,,,,
14,10/05/20 05:15:00 PM,17.284,200.0,,,,
15,10/05/20 05:30:00 PM,17.284,208.0,,,,
16,10/05/20 05:45:00 PM,17.284,200.0,,,,
17,10/05/20 06:00:00 PM,17.284,208.0,,,,
18,10/05/20 06:15:00 PM,17.284,0.0,,,,
19,10/05/20 06:30:00 PM,18.236,0.0,,,,
20,10/05/20 06:45:00 PM,18.996,0.0,,,,
21,10/05/20 07:00:00 PM,19.377,0.0,,,,
22,10/05/20 07:15:00 PM,19.758,0.0,,,,
23,10/05/20 07:30:00 PM,20.043,0.0,,,,
24,10/05/20 07:45:00 PM,20.138,0.0,,,,
25,10/05/20 08:00:00 PM,20.329,0.0,,,,
26,10/05/20 08:15:00 PM,20.329,0.0,,,,
27,10/05/20 08:30:00 PM,20.424,0.0,,,,
28,10/05/20 08:45:00 PM,20.519,0.0,,,,
29,10/05/20 09:00:00 PM,20.615,0.0,,,,
30,10/05/20 09:15:00 PM,20.615,0.0,,,,
31,10/05/20 09:30:00 PM,20.710,0.0,,,,
32,10/05/20 09:45:00 PM,20.710,0.0,,,,
33,10/05/20 10:00:00 PM,20.710,0.0,,,,
34,10/05/20 10:15:00 PM,20.710,0.0,,,,
35,10/05/20 10:30:00 PM,20.805,0.0,,,,
36,10/05/20 10:45:00 PM,20.805,0.0,,,,
37,10/05/20 11:00:00 PM,20.805,0.0,,,,
38,10/05/20 11:15:00 PM,20.805,0.0,,,,
39,10/05/20 11:30:00 PM,20.805,0.0,,,,
40,10/05/20 11:45:00 PM,20.805,0.0,,,,
41,10/06/20 12:00:00 AM,20.805,0.0,,,,
42,10/06/20 12:15:00 AM,20.805,0.0,,,,
43,10/06/20 12:30:00 AM,20.805,0.0,,,,
44,10/06/20 12:45:00 AM,20.805,0.0,,,,
45,10/06/20 01:00:00 AM,20.805,0.0,,,,
46,10/06/20 01:15:00 AM,20.805,0.0,,,,
47,10/06/20 01:30:00 AM,20.805,0.0,,,,
48,10/06/20 01:45:00 AM,20.805,0.0,,,,
49,10/06/20 02:00:00 AM,20.805,0.0,,,,
50,10/06/20 02:15:00 AM,20.805,0.0,,,,
51,10/06/20 02:30:00 AM,20.805,0.0,,,,
52,10/06/20 02:45:00 AM,20.805,0.0,,,,
53,10/06/20 03:00:00 AM,20.805,0.0,,,,
54,10/06/20 03:15:00 AM,20.805,0.0,,,,
55,10/06/20 03:30:00 AM,20.805,0.0,,,,
56,10/06/20 03:45:00 AM,20.805,0.0,,,,
57,10/06/20 04:00:00 AM,20.805,0.0,,,,
58,10/06/20 04:15:00 AM,20.805,0.0,,,,
59,10/06/20 04:30:00 AM,20.805,0.0,,,,
60,10/06/20 04:45:00 AM,20.805,0.0,,,,
61,10/06/20 05:00:00 AM,20.805,0.0,,,,
62,10/06/20 05:15:00 AM,20.805,0.0,,,,
63,10/06/20 05:30:00 AM,20.805,0.0,,,,
64,10/06/20 05:45:00 AM,20.805,0.0,,,,
65,10/06/20 06:00:00 AM,20.805,0.0,,,,
66,10/06/20 06:15:00 AM,20.901,208.0,,,,
67,10/06/20 06:30:00 AM,19.662,208.0,,,,
68,10/06/20 06:45:00 AM,18.616,208.0,,,,
69,10/06/20 07:00:00 AM,18.045,208.0,,,,
70,10/06/20 07:15:00 AM,17.665,200.0,,,,
71,10/06/20 07:30:00 AM,17.570,200.0,,,,
72,10/06/20 07:45:00 AM,17.475,200.0,,,,
73,10/06/20 08:00:00 AM,17.284,200.0,,,,
74,10/06/20 08:15:00 AM,17.189,200.0,,,,
75,10/06/20 08:30:00 AM,17.094,200.0,,,,
76,10/06/20 08:45:00 AM,16.999,200.0,,,,
77,10/06/20 09:00:00 AM,17.094,208.0,,,,
78,10/06/20 09:15:00 AM,17.189,208.0,,,,
79,10/06/20 09:30:00 AM,17.189,200.0,,,,
80,10/06/20 09:45:00 AM,17.189,208.0,,,,
81,10/06/20 10:00:00 AM,17.189,200.0,,,,
82,10/06/20 10:15:00 AM,17.094,200.0,,,,
83,10/06/20 10:30:00 AM,16.999,208.0,,,,
84,10/06/20 10:45:00 AM,16.999,208.0,,,,
85,10/06/20 11:00:00 AM,16.903,200.0,,,,
86,10/06/20 11:15:00 AM,16.999,200.0,,,,
87,10/06/20 11:30:00 AM,17.094,208.0,,,,
88,10/06/20 11:45:00 AM,17.094,208.0,,,,
89,10/06/20 12:00:00 PM,17.094,200.0,,,,
90,10/06/20 12:15:00 PM,17.189,200.0,,,,
91,10/06/20 12:30:00 PM,16.903,208.0,,,,
92,10/06/20 12:45:00 PM,16.999,208.0,,,,
93,10/06/20 01:00:00 PM,17.094,208.0,,,,
94,10/06/20 01:15:00 PM,17.189,208.0,,,,
95,10/06/20 01:30:00 PM,17.189,200.0,,,,
96,10/06/20 01:45:00 PM,17.189,200.0,,,,
