"Plot Title: 20940481"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20940481, SEN S/N: 20940481, LBL: temp)","Intensity, Lux (LGR S/N: 20940481, SEN S/N: 20940481, LBL: light)","Coupler Attached (LGR S/N: 20940481)","Host Connected (LGR S/N: 20940481)","Stopped (LGR S/N: 20940481)","End Of File (LGR S/N: 20940481)"
1,12/07/20 02:00:00 PM,24.062,3100.0,,,,
2,12/07/20 02:15:00 PM,23.388,2927.8,,,,
3,12/07/20 02:30:00 PM,23.292,3100.0,,,,
4,12/07/20 02:45:00 PM,23.292,2927.8,,,,
5,12/07/20 03:00:00 PM,23.292,3100.0,,,,
6,12/07/20 03:15:00 PM,23.292,3100.0,,,,
7,12/07/20 03:30:00 PM,25.319,3100.0,,,,
8,12/07/20 03:45:00 PM,26.781,3100.0,,,,
9,12/07/20 04:00:00 PM,26.879,3100.0,,,,
10,12/07/20 04:15:00 PM,26.977,2927.8,,,,
11,12/07/20 04:30:00 PM,27.075,2927.8,,,,
12,12/07/20 04:45:00 PM,27.075,2927.8,,,,
13,12/07/20 05:00:00 PM,27.173,2927.8,,,,
14,12/07/20 05:15:00 PM,27.173,2927.8,,,,
15,12/07/20 05:30:00 PM,27.075,3100.0,,,,
16,12/07/20 05:45:00 PM,26.977,3100.0,,,,
17,12/07/20 06:00:00 PM,26.879,3100.0,,,,
18,12/07/20 06:15:00 PM,26.390,0.0,,,,
19,12/07/20 06:30:00 PM,26.195,0.0,,,,
20,12/07/20 06:45:00 PM,26.292,0.0,,,,
21,12/07/20 07:00:00 PM,26.585,0.0,,,,
22,12/07/20 07:15:00 PM,26.585,0.0,,,,
23,12/07/20 07:30:00 PM,26.488,0.0,,,,
24,12/07/20 07:45:00 PM,26.390,0.0,,,,
25,12/07/20 08:00:00 PM,26.390,0.0,,,,
26,12/07/20 08:15:00 PM,26.292,0.0,,,,
27,12/07/20 08:30:00 PM,26.390,0.0,,,,
28,12/07/20 08:45:00 PM,26.390,0.0,,,,
29,12/07/20 09:00:00 PM,26.390,0.0,,,,
30,12/07/20 09:15:00 PM,26.390,0.0,,,,
31,12/07/20 09:30:00 PM,26.390,0.0,,,,
32,12/07/20 09:45:00 PM,26.390,0.0,,,,
33,12/07/20 10:00:00 PM,26.390,0.0,,,,
34,12/07/20 10:15:00 PM,26.292,0.0,,,,
35,12/07/20 10:30:00 PM,26.292,0.0,,,,
36,12/07/20 10:45:00 PM,26.292,0.0,,,,
37,12/07/20 11:00:00 PM,26.292,0.0,,,,
38,12/07/20 11:15:00 PM,26.292,0.0,,,,
39,12/07/20 11:30:00 PM,26.292,0.0,,,,
40,12/07/20 11:45:00 PM,26.292,0.0,,,,
41,12/08/20 12:00:00 AM,26.292,0.0,,,,
42,12/08/20 12:15:00 AM,26.292,0.0,,,,
43,12/08/20 12:30:00 AM,26.292,0.0,,,,
44,12/08/20 12:45:00 AM,26.292,0.0,,,,
45,12/08/20 01:00:00 AM,26.292,0.0,,,,
46,12/08/20 01:15:00 AM,26.292,0.0,,,,
47,12/08/20 01:30:00 AM,26.292,0.0,,,,
48,12/08/20 01:45:00 AM,26.292,0.0,,,,
49,12/08/20 02:00:00 AM,26.292,0.0,,,,
50,12/08/20 02:15:00 AM,26.292,0.0,,,,
51,12/08/20 02:30:00 AM,26.292,0.0,,,,
52,12/08/20 02:45:00 AM,26.292,0.0,,,,
53,12/08/20 03:00:00 AM,26.292,0.0,,,,
54,12/08/20 03:15:00 AM,26.292,0.0,,,,
55,12/08/20 03:30:00 AM,26.292,0.0,,,,
